experiment,split,AP,AP50,AP75,APS,APM,APL,n_gt,n_gtS,n_gtM,n_gtL,fps_fullimg,n_pred,n_images
E0,val,0.4656887121698374,0.6803460994144053,0.4697072098242033,0.00043804281654603855,0.460794113427254,0.042552699704949154,23937,968,22171,798,1.23,24402,1868
E5,val,0.4649584479389663,0.6821760982139579,0.4700249673635723,0.00037763273151328086,0.45998078264340503,0.04377580484237086,23937,968,22171,798,0.92,24244,1868
