experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E24,val,empty@clean,198,14852,0,0,75.0,0.0,0.0,0.0,0.0,0.0
E24,val,empty@snow,166,11076,0,0,66.7,0.0,0.0,0.0,0.0,0.0
E24,val,medium@clean,3858,4042837,4471538,96906720,1047.9,0.9599519094472093,0.9558925346695136,0.9192346180809439,0.9579179214681872,0.9579179214681872
E24,val,medium@snow,1449,1665643,4620513,30607589,1149.5,0.9483893339223014,0.8688401379103511,0.829614586429215,0.9068736034164881,0.9068736034164881
E24,val,small@clean,1892,426357,485357,9086800,225.3,0.9551823858262724,0.9492949185852159,0.9088150499164085,0.9522295520000302,0.9522295520000302
E24,val,small@snow,1336,452852,546562,5936651,339.0,0.929125629958998,0.915695813171634,0.8559105198696833,0.9223618387914335,0.9223618387914335
E24,val,tiny@clean,136,10977,8548,59902,80.7,0.8451304335545858,0.8751205259300583,0.7541767912665036,0.8598640627573155,0.8598640627573155
E24,val,tiny@snow,94,4112,12383,38892,43.7,0.9043809878129839,0.7584982935138791,0.702186433638395,0.8250405710700951,0.8250405710700951
E25,val,empty@clean,198,20771,0,0,104.9,0.0,0.0,0.0,0.0,0.0
E25,val,empty@snow,166,7858,0,0,47.3,0.0,0.0,0.0,0.0,0.0
E25,val,medium@clean,3858,4073110,4639395,96738863,1055.8,0.9595969617616739,0.9542367851694581,0.9173789286450974,0.956909367198853,0.956909367198853
E25,val,medium@snow,1449,1762175,4551529,30676573,1216.1,0.9456768491804894,0.8707983472967098,0.8293144979692885,0.9066942823553913,0.9066942823553913
E25,val,small@clean,1892,448969,500028,9072129,237.3,0.952844829451383,0.9477622441838245,0.90530036245427,0.9502967409171409,0.9502967409171409
E25,val,small@snow,1336,498998,531418,5951795,373.5,0.9226454794007354,0.9180316920020842,0.8524226781459219,0.9203328033093465,0.9203328033093465
E25,val,tiny@clean,136,10822,9168,59282,79.6,0.845629350677785,0.8660628195750678,0.7478302553224999,0.8557241220023559,0.8557241220023559
E25,val,tiny@snow,94,6679,12025,39250,71.1,0.8545798950535509,0.7654802535333681,0.6772612761833915,0.8075799349812687,0.8075799349812687
E26,val,empty@clean,198,14905,0,0,75.3,0.0,0.0,0.0,0.0,0.0
E26,val,empty@snow,166,9005,0,0,54.2,0.0,0.0,0.0,0.0,0.0
E26,val,medium@clean,3858,4117513,4424448,96953810,1067.3,0.9592613129245364,0.9563570326884084,0.919030299328301,0.9578069712083025,0.9578069712083025
E26,val,medium@snow,1449,1721269,4573890,30654212,1187.9,0.9468341798535721,0.8701635983681413,0.8296274380421772,0.9068812817214127,0.9068812817214127
